ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-08-20T22:18:18Z,"Android OS 11 API 30 (OnePlus, HD1910)",93083,JP,219.100.181.206,,,,,0263: Proceduralism in Games with Luiz Kruel,Game Dev Unchained,spotify:episode:6y2pYAUIoItw8orurJglEG,,,,,clickrow,endplay,False,False,False,,False
2021-08-20T22:28:40Z,"Android OS 11 API 30 (OnePlus, HD1910)",616280,JP,219.100.182.156,,,,,"#22 - Spelunky, Indie Life, and Finding Success with Derek Yu",Game Developer Podcast,spotify:episode:5uQThaQFjpsqwVwwc24bMT,,,,,clickrow,endplay,False,False,False,,False
2021-08-23T00:59:12Z,Windows 10 (10.0.22000; x64),2391140,JP,150.65.110.89,,,,,OSPod Episode 24: Girls Night!,Overly Sarcastic Podcast,spotify:episode:3K5NDwV60QVMIHcWK9HuKG,,,,,clickrow,remote,False,False,False,,False
2021-08-24T00:11:02Z,"Android OS 11 API 30 (OnePlus, HD1910)",233437,JP,103.90.19.181,,,,,33. 夏祭り(summer festivals)と日本の夏の楽しみ方(ways to enjoy summer in Japan),Let’s learn Japanese from small talk!,spotify:episode:6z3gp4eJRGbuaLDutLsc6Z,,,,,clickrow,endplay,False,False,False,,False
2021-08-26T00:16:29Z,Windows 10 (10.0.18363; x64),21110,JP,150.65.234.104,,,,,"#22 - Spelunky, Indie Life, and Finding Success with Derek Yu",Game Developer Podcast,spotify:episode:5uQThaQFjpsqwVwwc24bMT,,,,,clickrow,endplay,False,False,False,,False
2021-08-27T05:32:59Z,"Android OS 11 API 30 (OnePlus, HD1910)",610274,JP,150.65.206.110,,,,,33. 夏祭り(summer festivals)と日本の夏の楽しみ方(ways to enjoy summer in Japan),Let’s learn Japanese from small talk!,spotify:episode:6z3gp4eJRGbuaLDutLsc6Z,,,,,clickrow,logout,False,False,False,,False
2021-08-27T10:25:44Z,"Android OS 11 API 30 (OnePlus, HD1910)",1154359,JP,103.90.19.22,,,,,33. 夏祭り(summer festivals)と日本の夏の楽しみ方(ways to enjoy summer in Japan),Let’s learn Japanese from small talk!,spotify:episode:6z3gp4eJRGbuaLDutLsc6Z,,,,,clickrow,trackdone,False,False,False,,False
2021-08-27T20:16:58Z,"Android OS 11 API 30 (OnePlus, HD1910)",1232281,JP,150.65.110.89,,,,,35. 無人島に何を持ってく？ What would you bring to a deserted island?,Let’s learn Japanese from small talk!,spotify:episode:2it2EFfdLZlhH00HZhuWYQ,,,,,trackdone,logout,False,False,False,,False
2021-08-27T22:33:29Z,"Android OS 11 API 30 (OnePlus, HD1910)",423400,JP,219.100.182.204,,,,,35. 無人島に何を持ってく？ What would you bring to a deserted island?,Let’s learn Japanese from small talk!,spotify:episode:2it2EFfdLZlhH00HZhuWYQ,,,,,appload,logout,False,False,False,,False
2021-08-27T22:43:08Z,"Android OS 11 API 30 (OnePlus, HD1910)",421340,JP,219.100.182.204,,,,,35. 無人島に何を持ってく？ What would you bring to a deserted island?,Let’s learn Japanese from small talk!,spotify:episode:2it2EFfdLZlhH00HZhuWYQ,,,,,appload,endplay,False,False,False,,False
